ID,final_result,d_male,d_female,does father have a professional degree,does mother have a professional degree,d_stratum1,d_stratum2,d_stratum3,d_stratum4,d_stratum5,d_stratum6,d_level1sisben,d_level2sisben,d_level3sisben,PEOPLE_HOUSE,INTERNET,TV,COMPUTER,WASHING_MCH,MIC_OVEN,CAR,DVD,FRESH,PHONE,MOBILE,JOB,Private school,public school,MAT_S11,CR_S11,CC_S11,BIO_S11,ENG_S11,QR_PRO,CR_PRO,CC_PRO,WC_PRO,FEP_PRO
38,4,1,0,1,1,0,0,1,0,0,0,0,0,0,2,1,0,1,1,1,1,1,1,1,1,0,1,0,76,71,74,91,78,98,98,79,23,106
39,2,0,1,1,1,0,0,0,0,1,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,0,1,0,62,56,59,61,54,26,9,53,88,114
40,4,1,0,1,0,0,0,0,0,1,0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,72,62,61,78,82,95,61,89,46,157
41,4,0,1,0,0,0,0,0,1,0,0,0,0,0,4,1,1,0,1,1,1,1,1,1,1,0,1,0,60,60,61,71,62,70,79,89,58,203
42,4,0,1,1,0,0,0,0,1,0,0,0,0,0,5,1,1,1,1,1,1,1,1,1,1,0,1,0,50,58,52,52,75,60,77,45,89,153
43,2,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,1,1,1,0,0,1,1,1,1,0,1,0,44,54,56,55,40,31,67,50,12,146
44,4,1,0,1,0,0,1,0,0,0,0,0,0,0,4,1,1,1,1,1,1,0,1,1,1,0,1,0,69,67,56,68,64,96,93,87,31,205
45,4,1,0,1,1,0,1,0,0,0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,0,1,0,83,62,66,72,82,92,96,95,78,168
46,4,1,0,0,1,0,0,0,1,0,0,0,0,0,4,1,1,1,1,1,0,1,1,1,1,0,1,0,80,62,71,81,88,97,93,100,46,183
47,3,1,0,1,1,0,0,0,1,0,0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,83,75,68,81,85,95,19,5,63,91
48,4,0,1,1,1,0,0,0,0,1,0,0,0,0,3,1,1,1,1,1,1,1,1,1,1,0,1,0,63,60,59,75,80,93,71,90,11,185
49,2,1,0,1,0,0,0,0,1,0,0,0,0,0,5,0,0,1,1,1,1,1,1,1,0,0,1,0,47,36,41,44,40,71,7,56,43,137
50,4,1,0,1,1,0,0,1,0,0,0,0,0,0,5,1,1,1,1,0,0,1,1,1,1,0,1,0,65,62,59,66,54,81,55,78,77,157
51,2,0,1,1,0,0,0,0,0,0,1,0,0,0,4,1,1,1,1,1,1,1,1,1,1,0,1,0,56,51,39,60,55,57,5,15,78,85
52,4,1,0,1,1,0,0,0,0,1,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,0,1,0,69,60,76,71,92,90,90,86,67,206
53,4,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,1,1,0,1,1,1,0,0,1,0,67,81,56,73,78,79,95,9,88,200
