IDNo,ID,final_result,Female,Male,YoG,SGPA,CGPA100,CGPA200,CGPA300
60050,33,Pass,1,0,1.2,3.13,2.74,2.37,2.85
76544,34,Pass,1,0,1.2,3.3,2.94,2.51,2.68
39674,35,Pass with distinction,1,0,1.2,3.66,3.62,3.81,3.94
60321,36,Pass with distinction,1,0,1.2,4.06,3.74,3.89,4.29
51531,37,Pass,1,0,1.2,2.95,3.32,4.13,4.15
90431,38,Pass,0,1,1.2,2.89,3.91,3.68,3.55
85661,39,Pass,1,0,1.2,3.54,3.66,3.31,3.71
29174,40,Pass with distinction,1,0,1.2,3.36,3.6,3.38,4
51383,41,Pass,1,0,1.2,3.05,3.36,3.18,3.19
75401,42,Pass,0,1,1.2,2.73,2.79,2.25,3.06
56392,43,Pass with distinction,1,0,1.2,2.57,3.98,4.17,4.45
25220,44,Pass,1,0,1.2,3.59,3.28,3.17,3.13
96366,45,Pass,1,0,1.2,3.44,2.6,2.34,2.29
42908,46,Pass,1,0,1.2,2.85,3.13,2.51,2.23
66373,47,Pass with distinction,1,0,1.2,4.45,4.3,4.72,4.94
50580,48,Pass,0,1,1.2,2.97,3.28,3.14,3.42
94666,49,Pass with distinction,1,0,1.2,3.83,4,3.61,3.97
31083,50,Pass,0,1,1.2,3.05,2.89,1.94,2.45
53806,51,Pass,0,1,1.2,3.56,3.3,2.84,3.45
87210,52,Pass,1,0,1.2,2.97,2.7,2.65,3.26
63782,53,Pass with distinction,1,0,1.2,2.95,3.43,4.12,4.35
94070,54,Pass with distinction,1,0,1.2,3.75,3.47,3.68,3.64
44700,55,Pass,1,0,1.2,2.77,2.98,3.05,3.23
77630,56,Pass,1,0,1.2,3.36,2.87,2.47,3
52334,57,Pass,0,1,1.2,2.86,3.47,2.67,2.13
41007,58,Pass,1,0,1.2,3.13,3.3,4,3.32
26773,59,Pass,1,0,1.2,2.5,2.43,2.46,2.81
76637,60,Pass,1,0,1.2,2.85,2.64,3.06,2.88
66754,61,Pass with distinction,1,0,1.2,3.93,3.62,4.46,3.85
36874,62,Pass with distinction,1,0,1.2,3.36,3.47,4.34,4.35
48459,63,Pass,1,0,1.3,2.78,3.71,3.46,3.81
69939,64,Pass with distinction,1,0,1.3,4.44,4.72,4.52,4.68
33742,65,Pass,1,0,1.3,2.86,2.72,1.96,2.61
34327,66,Pass,1,0,1.3,2.58,3.17,2.94,3.32
77803,67,Borderline pass,1,0,1.3,2.89,3.26,2.62,3
79182,68,Pass,0,1,1.3,3.26,3.33,2.76,3
74121,69,Pass,1,0,1.3,3.44,2.78,2.47,2.42
68121,70,Pass,1,0,1.3,3.28,2.78,2.56,2.68
56856,71,Borderline pass,1,0,1.4,2.78,2.76,1.93,2.81
78395,72,Borderline pass,0,1,1.3,3.44,3.46,2.74,2.55
62002,73,Borderline pass,1,0,1.3,2.46,2.61,2.57,2.32
34280,74,Pass,1,0,1.3,3.13,3.26,3.3,3.39
58040,75,Pass with distinction,1,0,1.3,3.54,4.2,4.22,4.39
48071,76,Borderline pass,1,0,1.3,2.17,3.04,2.5,2.55
68279,77,Pass with distinction,1,0,1.3,4.38,4.43,4.7,4.68
32512,78,Pass with distinction,1,0,1.3,3.89,4.28,4.41,4.26
23893,79,Pass,0,1,1.3,2.64,3.28,2.85,3.23
40002,80,Pass,1,0,1.3,2.69,3.67,3.17,3.68
32972,81,Borderline pass,0,1,1.3,2.29,2.85,2.38,2.45
36440,82,Pass,1,0,1.3,3.36,3.59,3.36,3.39
40727,83,Pass with distinction,1,0,1.3,3.3,3.85,3.43,3.68
74956,84,Pass,1,0,1.4,2.67,2.52,1.97,1.97
72281,85,Pass,0,1,1.3,3.47,3.3,2.85,3.32
94807,86,Pass,0,1,1.3,3.21,3.5,3.02,2.94
89200,87,Pass,1,0,1.3,3.05,3.41,3.48,3.48
96620,88,Borderline pass,1,0,1.4,2.77,2.13,1.84,2.23
28959,89,Pass,1,0,1.3,2.66,3.33,2.8,2.9
81977,90,Pass,1,0,1.3,3.06,3.93,3.09,3.45
47255,91,Pass,1,0,1.3,3.36,3.15,3.46,3.55
44321,92,Pass,1,0,1.3,3.13,3.83,3.94,3.9
25299,93,Pass,1,0,1.3,3.26,4.3,4.06,4.26
89035,94,Pass,0,1,1.3,3.83,4.43,4.07,3.87
88657,95,Pass,1,0,1.3,3.21,2.96,3.09,2.87
34754,96,Borderline pass,1,0,1.5,2.66,2.83,2.58,2.15
52769,97,Pass,0,1,1.4,2.08,2.73,3.47,2.13
71184,98,Pass with distinction,1,0,1.4,3.13,4.35,4.52,3.94
62114,99,Pass,1,0,1.4,2.5,2.9,3.23,3.06
27991,100,Pass with distinction,1,0,1.4,3.52,4.48,4.46,3.74
65831,101,Pass,1,0,1.4,2.92,3.31,3.19,3.23
62549,102,Pass with distinction,1,0,1.4,3.96,4.79,4.65,4.71
66742,103,Borderline pass,1,0,1.4,2.08,2.6,2.47,2.26
60254,104,Pass with distinction,1,0,1.4,3.26,4.17,3.91,3.48
89412,105,Pass with distinction,1,0,1.4,2.92,4.08,3.43,3.55
76310,106,Pass,1,0,1.4,2.89,2.92,3.08,3.23
65128,107,Pass with distinction,1,0,1.4,3.13,4.06,3.72,3.65
39732,108,Pass with distinction,1,0,1.4,3.54,4.25,4.28,4.16
70319,109,Pass with distinction,1,0,1.4,2.5,3.79,4.06,3.71
65473,110,Pass with distinction,1,0,1.4,2.42,4.17,4.13,4
61668,111,Pass with distinction,1,0,1.4,3.38,3.35,3.59,3.48
55446,112,Borderline pass,0,1,1.4,2.66,3.1,2.6,2.84
73235,113,Pass with distinction,0,1,1.4,2.71,4.33,4.3,3.39
73918,114,Pass with distinction,1,0,1.4,2.71,3.56,3.32,3.1
36603,115,Pass with distinction,1,0,1.4,2.36,4.65,4.35,4.48
40934,116,Pass with distinction,0,1,1.4,2.95,3.85,3.93,2.74
62591,117,Pass with distinction,1,0,1.4,4.38,3.96,4.22,4.03
44387,118,Pass with distinction,1,0,1.4,4.14,4.08,4.22,3.84
25727,119,Pass,1,0,1.4,3.54,3.15,3.65,2.71
33165,120,Pass with distinction,1,0,1.4,3.82,4.08,4.43,4.16
30063,121,Pass with distinction,1,0,1.4,3.54,3.73,4.04,3.94
26083,122,Pass with distinction,1,0,1.4,3.68,3.85,4.06,4.45
45732,123,Pass,1,0,1.4,2.57,1.73,2.4,2.61
80688,124,Pass,0,1,1.4,3.83,2.88,2.89,2.39
62099,125,Pass,1,0,1.4,2.42,3.79,3.18,2.35
27055,126,Pass with distinction,1,0,1.4,2.43,4.38,4.15,4.32
76642,127,Pass with distinction,1,0,1.4,3.19,3.98,3.61,3.55
25569,128,Pass,1,0,1.4,1.76,3.27,3.29,2.65
30867,129,Pass with distinction,1,0,1.4,2.15,4.13,4.46,4.23
61462,130,Pass with distinction,0,1,1.4,2.85,3.73,3.72,3.81
31615,131,Pass,0,1,1.4,3.23,3.38,3.35,3.32
35331,132,Pass,1,0,1.5,3.13,3.46,3.33,3.94
70546,133,Pass,0,1,1.5,2.19,2.83,3.44,4.13
83356,134,Pass,1,0,1.5,2.92,3.98,3.11,3.71
89894,135,Pass with distinction,1,0,1.5,3.54,4.75,4.98,4.94
63387,136,Pass,1,0,1.5,2.64,2.73,2.92,3.03
95377,137,Pass with distinction,1,0,1.5,3.36,4.46,4.78,4.65
67162,138,Pass with distinction,1,0,1.5,2.99,3.77,4.37,4.16
57610,139,Pass with distinction,0,1,1.5,2.85,3,4.02,4.81
29869,140,Pass with distinction,1,0,1.5,2.64,3.69,3.35,3.65
55505,141,Pass,1,0,1.5,2.29,3.85,3.37,3.68
54816,142,Pass with distinction,1,0,1.5,3.2,4.33,4.04,4.52
69822,143,Pass,0,1,1.5,2.41,2.96,2.94,3.52
29696,144,Pass,1,0,1.5,2.47,3.58,3.65,3.84
96250,145,Pass with distinction,1,0,1.5,3.33,3.96,4.13,4.35
62285,146,Pass with distinction,1,0,1.5,3.98,3.98,4.13,4.77
92589,147,Pass,1,0,1.5,2.78,3.31,2.54,2.97
97014,148,Pass,1,0,1.5,4.18,3.5,2.96,3.32
29835,149,Pass with distinction,0,1,1.5,2.57,3.69,4.19,4.94
56265,150,Pass with distinction,0,1,1.1,3.19,4.35,3.48,4.43
32236,151,Pass,0,1,1.1,3.59,3.1,2.27,3.39
95984,152,Pass,1,0,1.1,2.86,2.71,2.85,3.93
24519,153,Pass with distinction,1,0,1.1,2.97,3.58,3.66,4.67
29994,154,Pass with distinction,1,0,1.1,2.99,3.9,3.71,4.07
64063,155,Pass with distinction,1,0,1.1,2.29,4.17,4.13,4.3
83948,156,Pass with distinction,1,0,1.1,4.11,3.67,3.7,4.17
33118,157,Pass,1,0,1.1,3.28,3.02,2.69,3.57
94989,158,Pass with distinction,0,1,1.2,3.52,3.57,3.24,4.39
27993,159,Pass,1,0,1.2,2.86,3.2,2.55,3.61
55933,160,Pass with distinction,1,0,1.2,3.68,4.7,4.53,4.86
54319,161,Pass,0,1,1.2,3.82,3.26,2.55,3.81
37769,162,Borderline pass,0,1,1.2,2.73,2.53,1.98,2.52
65790,163,Pass,1,0,1.2,2.73,2.59,2.03,2.65
38329,164,Pass,1,0,1.2,2.95,2.54,2.22,2.84
67765,165,Pass,1,0,1.2,3.13,3.7,3.51,3.68
85500,166,Pass,0,1,1.2,2.27,3.15,1.72,3.55
72755,167,Pass,1,0,1.2,3.3,2.67,1.94,3
54660,168,Pass,1,0,1.2,3.13,3.67,2.94,3.76
78198,169,Pass,1,0,1.2,2.27,3.04,2.27,3.35
50420,170,Pass,1,0,1.2,2.97,2.98,2.34,2.58
71972,171,Pass with distinction,1,0,1.2,3.67,3.26,3.25,4.41
45568,172,Pass with distinction,1,0,1.2,3.59,3.61,3.53,4.29
41438,173,Borderline pass,1,0,1.3,3.44,2.46,2.23,2.16
76075,174,Pass,0,1,1.5,2.68,2.61,1.98,1.77
78063,175,Pass with distinction,1,0,1.2,3.91,4.07,4.18,4.59
86041,176,Pass,1,0,1.2,2.86,2.35,2.03,2.23
25836,177,Pass,1,0,1.2,2.95,2.65,2.92,3.21
75888,178,Pass,1,0,1.2,2.5,3.2,3.4,4.52
42113,179,Pass with distinction,1,0,1.2,3.05,3.89,4.04,4.66
87505,180,Pass,1,0,1.2,3.13,3.41,3.2,4.28
41255,181,Pass,1,0,1.2,3.75,3.3,2.59,3.19
38409,182,Pass with distinction,1,0,1.2,3.44,3.7,3.65,4.52
64152,183,Pass with distinction,1,0,1.2,3.05,3.89,4.18,4.62
90420,184,Pass with distinction,1,0,1.2,3.52,4.39,4.2,4.83
60775,185,Pass,1,0,1.2,3.75,3.04,2.55,2.9
37039,186,Pass with distinction,0,1,1.2,2.92,3.26,2.88,4.19
91230,187,Pass with distinction,1,0,1.2,2.34,3.48,4.37,4.55
39114,188,Pass with distinction,1,0,1.2,3.13,3.26,3.84,4.52
62205,189,Pass with distinction,1,0,1.2,3.52,3.15,2.72,4.03
71910,190,Pass with distinction,1,0,1.2,3.83,4.43,4.53,4.72
82394,191,Borderline pass,0,1,1.3,2.86,2.26,1.81,3.39
54606,192,Pass with distinction,1,0,1.2,3.44,3.54,3.42,4.16
74973,193,Pass with distinction,1,0,1.2,3.28,3.33,3.13,4.28
28749,194,Pass with distinction,1,0,1.2,3.91,3.5,3.94,4.62
29406,195,Pass,0,1,1.2,3.28,3.41,3.12,3.29
50336,196,Pass with distinction,1,0,1.2,3.52,3.46,3.47,4.28
34627,197,Pass,1,0,1.2,3.05,3.09,3.2,3.84
65917,198,Pass with distinction,1,0,1.2,3.75,4.35,4.71,4.79
70068,199,Borderline pass,1,0,1.2,2.15,3.02,2.69,3.23
55791,200,Pass with distinction,0,1,1.2,2.73,3.3,3.67,4.45
77762,201,Pass with distinction,1,0,1.2,4.06,3.96,3.94,4.42
79850,202,Pass with distinction,1,0,1.2,3.84,3.63,3.19,4.03
46988,203,Pass with distinction,0,1,1.3,2.38,4.18,4.53,4.93
38648,204,Pass with distinction,1,0,1.3,2.6,3.63,3.55,4.24
84765,205,Pass,1,0,1.5,2.97,1.71,1.76,1.64
56919,206,Pass with distinction,0,1,1.3,3.57,3.2,3.45,4.03
64979,207,Pass,1,0,1.3,2.89,2.9,2.22,3.26
68153,208,Pass,1,0,1.3,2.64,3.33,2.03,3.61
29904,209,Pass with distinction,1,0,1.3,3.68,3.71,3.73,4.48
88770,210,Pass with distinction,0,1,1.3,3.44,3.96,4.22,4.66
33831,211,Pass,1,0,1.3,2.46,2.69,2.81,3.71
70995,212,Pass,1,0,1.3,2.68,2.8,2.73,3.9
79294,213,Pass with distinction,1,0,1.3,4.11,3.55,3.49,4.52
75612,214,Pass,1,0,1.3,3.26,3.71,2.77,4.17
71023,215,Pass with distinction,1,0,1.3,2.67,3.22,3,3.87
95084,216,Pass with distinction,1,0,1.3,3.52,4.31,4.29,4.86
70709,217,Pass,0,1,1.3,2.81,2.9,2.91,3.61
76227,218,Borderline pass,1,0,1.4,3.13,1.69,1.77,3.19
28270,219,Pass,1,0,1.3,3.36,2.59,3.27,4.3
91438,220,Pass,1,0,1.3,2.34,2.69,2.89,4
34666,221,Pass,1,0,1.3,3.61,3.45,2.4,3.42
62254,222,Pass,0,1,1.4,3.04,2.27,2.88,3.58
63687,223,Pass,1,0,1.3,3.06,2.59,2.17,2.81
61676,224,Pass with distinction,1,0,1.3,3.4,3.45,4.47,4.59
58690,225,Pass with distinction,1,0,1.3,4.3,4.35,4.02,4.72
29337,226,Pass,0,1,1.3,2.54,2.41,2.03,2.61
64657,227,Pass with distinction,0,1,1.3,4.03,4.37,4.59,4.66
86769,228,Pass with distinction,1,0,1.3,3.88,3.57,3.65,4.52
51863,229,Pass,1,0,1.3,2.78,2,2.25,2.52
81642,230,Borderline pass,1,0,1.5,2.13,1.65,1.8,1.74
48363,231,Pass,1,0,1.3,2.5,3.14,3.37,4.32
52884,232,Pass,1,0,1.3,3.3,3.55,4.02,4.59
30373,233,Pass with distinction,1,0,1.3,3.13,4.2,3.98,4.62
39768,234,Borderline pass,0,1,1.4,3.13,3.04,1.94,2.23
67454,235,Pass,1,0,1.3,2.89,2.45,2.12,3.1
55958,236,Pass with distinction,1,0,1.3,3.98,3.78,3.76,4.83
84612,237,Pass,0,1,1.3,2.92,3.18,3.52,4.35
65308,238,Pass,1,0,1.3,2.64,3.31,3.37,3.69
84684,239,Pass with distinction,1,0,1.3,2.5,3.31,4.16,4.55
87463,240,Pass,1,0,1.3,2.17,2.69,2.02,2.06
64777,241,Borderline pass,1,0,1.4,3.47,2.49,2.07,2.48
69247,242,Pass,1,0,1.3,2.71,3.37,3.18,4.23
24100,243,Pass,1,0,1.3,3.86,2.94,3.02,3.9
55026,244,Pass with distinction,1,0,1.3,3.2,3.55,3.1,4.62
33743,245,Pass with distinction,1,0,1.3,3.13,4.06,4.14,4.62
65869,246,Pass with distinction,1,0,1.3,3.4,3.59,3.73,4.03
56611,247,Pass with distinction,1,0,1.3,2.95,4.04,4.41,4.72
95820,248,Pass with distinction,0,1,1.3,4.3,4.22,4.65,4.59
61373,249,Pass with distinction,1,0,1.4,2.19,4.04,4.16,4.59
54104,250,Borderline pass,1,0,1.5,2.99,2.23,1.93,2.34
35893,251,Pass with distinction,0,1,1.4,2.71,3.96,4.02,3.52
35370,252,Pass,1,0,1.4,2.42,2.58,2.2,2.42
78033,253,Pass with distinction,1,0,1.4,2.66,3.77,3.9,3.87
55766,254,Pass,1,0,1.4,2.71,2.77,1.95,2.55
61204,255,Pass with distinction,0,1,1.4,3.68,3.83,3.96,4.21
68727,256,Pass,1,0,1.4,3.68,3.29,3.14,3.41
30681,257,Pass,0,1,1.4,2.28,3.35,2.55,2.87
61527,258,Pass with distinction,1,0,1.4,3.96,4.42,4.22,4.34
75468,259,Pass,1,0,1.4,2.34,2.21,2.2,2.32
63093,260,Pass,1,0,1.4,3.05,2.56,1.72,2.71
91670,261,Pass,1,0,1.4,2.58,2.73,2.64,2.39
94773,262,Pass with distinction,1,0,1.4,2.97,3.79,3.65,3.83
91114,263,Pass,1,0,1.4,2.14,2.02,1.89,2.55
47396,264,Pass with distinction,0,1,1.4,3.2,3.88,3.29,3.45
63328,265,Pass,0,1,1.4,3.13,2.65,1.78,2.52
91867,266,Pass with distinction,1,0,1.4,3.4,3.96,3.6,3.61
65260,267,Pass with distinction,1,0,1.4,3.61,4.23,3.98,4
74172,268,Pass,1,0,1.4,2.85,3.46,2.62,3.55
26234,269,Pass with distinction,1,0,1.4,2.64,4.08,3.51,3.38
85544,270,Pass,1,0,1.4,2.5,2.88,2.1,2.74
94288,271,Pass with distinction,0,1,1.4,2.92,2.88,3.08,4.48
39347,272,Pass,1,0,1.4,2.41,3.08,2.09,2.77
73044,273,Pass with distinction,1,0,1.4,3.96,3.38,2.79,3.6
25695,274,Pass,0,1,1.4,2.85,3.15,2.53,2.93
36723,275,Pass,0,1,1.4,2.42,3.17,2.55,2.26
80074,276,Pass with distinction,1,0,1.4,3.57,4.06,3.94,4.21
83435,277,Pass with distinction,1,0,1.4,2.81,4.29,4.12,4.03
88837,278,Pass,1,0,1.5,2.73,2.5,1.95,2.66
74936,279,Pass with distinction,1,0,1.4,2.73,4.08,3.88,4.41
62245,280,Pass with distinction,1,0,1.4,2.77,3.77,3.11,3.55
54900,281,Pass with distinction,1,0,1.4,1.65,3.6,3.31,3.9
78766,282,Pass,0,1,1.4,3.05,3.54,2.26,2.89
69507,283,Pass,1,0,1.4,2.29,2.08,2.41,3.06
76957,284,Pass with distinction,1,0,1.4,3.4,4.19,4.08,4.41
27975,285,Pass with distinction,1,0,1.4,3.47,3.96,4.27,4.48
54885,286,Pass with distinction,1,0,1.4,2.35,4.08,3.71,3.83
88597,287,Pass,1,0,1.4,2.58,2.67,2.27,2.29
86251,288,Pass with distinction,1,0,1.4,2.81,3.15,3.12,3.03
51979,289,Pass with distinction,1,0,1.4,3.26,4,3.61,3.77
76661,290,Pass with distinction,1,0,1.4,2.41,3.75,3.88,3.86
84087,291,Pass,0,1,1.4,2.05,3.25,2.88,3.31
24795,292,Pass,1,0,1.4,2.34,3.19,2.82,2.9
59574,293,Pass with distinction,1,0,1.5,2.71,3.31,3.54,4.66
80796,294,Pass,1,0,1.5,2.15,3.52,2.86,3.13
46255,295,Pass with distinction,0,1,1.5,3.28,3.52,3.64,3.97
51788,296,Pass with distinction,1,0,1.5,2.66,3.44,3.27,4.23
38612,297,Pass with distinction,1,0,1.5,2.92,3.81,3.86,4.76
60854,298,Pass,1,0,1.5,2.89,3.6,3.22,4.1
83154,299,Pass,0,1,1.5,3.82,3.42,2.14,3.32
27184,300,Pass with distinction,1,0,1.5,2.1,2.98,3.52,4.45
72640,301,Pass with distinction,1,0,1.5,2.78,3.81,3.8,4.65
31546,302,Pass with distinction,1,0,1.5,2.92,4.06,3.94,4.34
95632,303,Pass with distinction,1,0,1.5,3.68,4.17,4.08,4.83
52510,304,Pass,1,0,1.5,1.7,3.4,2.73,3.84
65844,305,Pass,1,0,1.5,2.85,3.4,2.64,3.42
82841,306,Pass with distinction,0,1,1.5,4.1,3.85,3.57,4.52
53365,307,Pass with distinction,1,0,1.5,2.67,3.98,4.22,4.62
65341,308,Pass with distinction,1,0,1.5,3.75,3.9,4.29,4.86
32999,309,Pass,1,0,1.5,2.92,2.96,2.51,4.13
59543,310,Pass,1,0,1.5,3.26,3.19,3.51,4.28
76199,311,Pass with distinction,1,0,1.5,3.13,3.58,3.86,4.48
39626,312,Pass with distinction,1,0,1.5,3.59,3.77,3.35,4.48
59658,313,Pass,1,0,1.5,2.71,3.54,3.82,3.97
27508,314,Pass,1,0,1.1,1.96,2.31,2.58,3.56
61787,315,Borderline pass,0,1,1.2,2.05,2.16,2.22,2.19
62223,316,Borderline pass,1,0,1.1,3.04,2.6,2.18,2.67
94484,317,Pass,0,1,1.1,2.89,3.6,3.7,3.43
34541,318,Pass,0,1,1.1,2.15,2.89,3.33,3.05
75696,319,Pass,0,1,1.2,3.28,3.28,4.3,3.44
60639,320,Pass,0,1,1.4,3.13,2.16,2.09,2.29
48560,321,Pass with distinction,0,1,1.1,2.5,3.21,3.86,4.23
33258,322,Pass with distinction,1,0,1.1,3.75,3.81,4.34,4.5
77091,323,Pass,0,1,1.1,3.67,3,3.34,3.16
67598,324,Pass,0,1,1.2,2.86,2.28,2.01,2.27
62501,325,Borderline pass,0,1,1.1,2.38,2.52,3,2.16
42866,326,Borderline pass,0,1,1.2,2.41,2.72,1.23,1.7
75895,327,Borderline pass,0,1,1.2,2.5,2.84,1.88,1.87
26729,328,Pass with distinction,1,0,1.2,3.44,3.75,3.25,4.2
44951,329,Pass,0,1,1.2,2.41,3.18,2.49,3.49
96200,330,Pass with distinction,1,0,1.2,2.58,3.2,2.4,3.72
38251,331,Pass,0,1,1.2,3.54,2.84,1.45,2.92
48313,332,Pass with distinction,0,1,1.2,2.57,3.12,3.02,3.52
71345,333,Borderline pass,0,1,1.5,2.71,2.61,1.41,2.2
86279,334,Pass,0,1,1.4,2.86,2.12,2.76,3.69
59853,335,Pass,0,1,1.3,2.81,3.45,3.46,4.36
54772,336,Pass with distinction,1,0,1.3,3.28,3.2,3.91,4.51
58858,337,Pass with distinction,1,0,1.3,2.71,3.06,3.79,3.98
75874,338,Pass,0,1,1.3,2.75,3.86,3.82,3.86
29158,339,Pass,0,1,1.3,3.26,3.76,3.87,4.45
45418,340,Pass,1,0,1.3,2.95,2.73,2.89,3.32
65600,341,Pass with distinction,0,1,1.3,3.66,2.9,3.32,4
54655,342,Pass,0,1,1.3,2.86,3.06,2.86,2.79
45608,343,Pass with distinction,1,0,1.3,2.19,3.35,3.96,3.91
77830,344,Pass,0,1,1.3,3.28,2.62,2.88,3.04
52567,345,Pass,1,0,1.3,3.02,2.02,2.46,3.03
23836,346,Pass with distinction,1,0,1.3,2.77,3.51,4.02,4.36
87589,347,Pass with distinction,0,1,1.3,4.45,4.16,4.18,4.64
39972,348,Pass,0,1,1.3,2.23,2.94,2.63,3.27
85197,349,Pass,1,0,1.3,3.59,2.75,3.26,3.94
47498,350,Pass,0,1,1.3,2.58,3.16,3.45,3.48
25498,351,Pass,0,1,1.3,2.42,2.27,3.16,3.08
53366,352,Pass,1,0,1.3,3.13,2.7,3.23,3.86
31719,353,Pass,0,1,1.3,2.97,3.51,3.57,3.61
73842,354,Pass,0,1,1.4,2.27,2.87,1.91,2.24
87291,355,Pass with distinction,1,0,1.4,2.92,4.04,4.08,4.39
45055,356,Pass,0,1,1.4,2.89,3.04,3.13,3.28
61691,357,Pass,0,1,1.4,2.58,3.02,2.89,3.1
25071,358,Pass with distinction,0,1,1.4,2.57,3.37,3.71,4.52
36390,359,Pass with distinction,0,1,1.4,2.27,3.83,3.6,3.82
68780,360,Pass,0,1,1.4,3.36,3.07,2.7,2.85
92944,361,Pass,0,1,1.4,2.77,2.8,2.56,2.71
85612,362,Borderline pass,0,1,1.5,3.13,2.59,2,2.14
64852,363,Pass with distinction,1,0,1.4,3.82,4.43,4.58,4.68
67697,364,Pass,0,1,1.4,2.57,3.78,3.28,3.25
43997,365,Pass,0,1,1.4,2.55,3.85,3.53,3.45
28292,366,Pass,0,1,1.4,3.05,3.39,2.31,2.23
44748,367,Pass with distinction,1,0,1.4,2.15,3.61,3.74,4.32
46689,368,Pass with distinction,1,0,1.4,3.36,4.09,4.62,4.91
68558,369,Borderline pass,0,1,1.5,3.05,1.98,1.97,2.19
64091,370,Borderline pass,1,0,1.4,2.07,2.37,2.33,2.54
81144,371,Borderline pass,0,1,1.5,2.99,2.46,2.17,1.69
52712,372,Pass,0,1,1.4,2.22,2.61,2.53,2.33
89608,373,Pass,0,1,1.4,2.66,2.83,3.23,2.72
78324,374,Pass,0,1,1.4,2.43,3.04,3.09,3.36
57590,375,Pass,0,1,1.4,2.85,2.61,2.57,2.98
24145,376,Pass,1,0,1.4,2.23,2.74,2.98,2.68
91103,377,Pass,0,1,1.4,2.71,2.76,2.69,3.02
29037,378,Pass,1,0,1.4,3.04,3.28,2.93,3.17
28870,379,Pass with distinction,1,0,1.4,4.31,2.51,3.75,4.02
87187,380,Pass,0,1,1.4,3.59,2.76,1.88,2.7
42905,381,Pass,1,0,1.4,3.54,3.41,3.42,3.39
56707,382,Pass,1,0,1.4,3.48,3.5,3.51,3.5
38744,383,Pass,0,1,1.4,2.08,3.24,2.78,2.59
38336,384,Pass,1,0,1.4,2.67,3.78,3.8,3.91
80284,385,Pass,0,1,1.4,2.42,2.78,3.02,3.33
36861,386,Borderline pass,0,1,1.4,2.89,2.72,2.36,2.42
95391,387,Pass,1,0,1.5,2.5,2.63,2.56,3.06
87068,388,Pass with distinction,1,0,1.5,2.27,3.5,3.59,4.28
47452,389,Pass with distinction,0,1,1.5,2.5,4.37,4.47,4.59
24731,390,Pass,0,1,1.5,1.47,2.5,2.41,3.4
52363,391,Pass with distinction,0,1,1.5,2.64,3.02,2.89,4.07
64443,392,Pass,0,1,1.5,2.85,3.33,3.39,3.57
23963,393,Pass,0,1,1.5,3.75,3.17,3.39,3.91
26522,394,Pass with distinction,0,1,1.5,2.57,2.83,3.06,3.85
72095,395,Borderline pass,0,1,1.5,2.81,2.87,2.77,3.22
51295,396,Pass,0,1,1.5,3.91,3.26,3.63,4.41
57350,397,Pass with distinction,0,1,1.5,2.88,3.48,4.04,4.04
86144,398,Pass,0,1,1.5,3.05,3.87,3.63,3.52
30905,399,Pass,1,0,1.5,2.08,2.5,2.89,3.52
92264,400,Pass with distinction,1,0,1.5,3.21,3.24,3.63,3.63
52238,401,Pass with distinction,0,1,1.5,2.45,3.65,3.76,4.72
81239,402,Pass,0,1,1.5,2.5,3.3,2.7,2.47
68527,403,Pass,0,1,1.5,2.81,3.28,3.72,3.7
28240,404,Pass with distinction,0,1,1.5,2.15,3,4.11,4.82
30613,405,Pass with distinction,1,0,1.5,1.74,3.33,3.43,3.65
80308,406,Pass with distinction,0,1,1.5,2.71,2.74,3.57,4.12
73565,407,Pass,0,1,1.5,2.17,2.17,2.03,2.58
70272,408,Pass,1,0,1.5,2.89,2.87,3.04,3.49
42884,409,Pass,0,1,1.5,2.73,2.48,2.16,2.58
29117,410,Borderline pass,0,1,1.2,1.84,2.03,1.4,1.41
71436,411,Borderline pass,0,1,1.1,3.28,2.8,1.99,1.27
62283,412,Pass,0,1,1.1,2.25,2.49,2.67,2.09
24813,413,Borderline pass,0,1,1.3,2.92,2.09,2.1,1.51
69305,414,Borderline pass,0,1,1.1,2.89,1.95,2.25,1.78
45159,415,Borderline pass,1,0,1.1,2.94,2.49,1.54,1.47
62120,416,Pass,1,0,1.1,2.88,2.33,1.67,1.71
91549,417,Borderline pass,0,1,1.1,4.13,4.6,3.94,2.96
28091,418,Borderline pass,0,1,1.3,3.26,2.14,1.97,1.65
64433,419,Pass with distinction,0,1,1.1,2.73,3.27,3.87,3.37
68265,420,Pass,1,0,1.1,2.71,3.53,3.71,3.12
54059,421,Pass,0,1,1.1,3.04,3.78,3.8,2.92
61605,422,Pass,0,1,1.1,3.57,4.11,4.4,3.69
55705,423,Pass with distinction,1,0,1.1,4.38,4.43,4.56,4.33
49427,424,Borderline pass,0,1,1.1,3.2,2.62,3.06,2.8
49393,425,Pass,0,1,1.1,3.61,4.8,4.52,3.69
87357,426,Pass,1,0,1.1,3.44,2.44,2.74,2.59
42401,427,Pass with distinction,1,0,1.1,2.99,4.44,4.44,4.08
95356,428,Pass with distinction,0,1,1.1,3.91,3.48,3.78,3.52
89502,429,Pass with distinction,1,0,1.1,2.79,4.44,4.74,4.56
36887,430,Pass,1,0,1.1,2.5,2.38,2.98,2.86
29520,431,Pass,0,1,1.1,2.29,3.06,3.43,2.61
68823,432,Pass with distinction,0,1,1.1,3.85,4.44,4.16,3.63
