IDNo,ID,final_result,Female,Male,YoG,SGPA,CGPA100,CGPA200,CGPA300
90356,2788,Pass with distinction,0,1,1.3,3.2,3.47,3.07,3.71
51381,2789,Pass,0,1,1.3,3.21,3.49,2.58,2.79
65978,2790,Pass,0,1,1.3,3.13,3.83,3.24,3.33
91370,2791,Pass with distinction,0,1,1.3,2.79,4.11,3.45,3.61
26797,2792,Pass with distinction,0,1,1.3,3.21,3.83,3.13,3.44
83741,2793,Pass,1,0,1.3,3.75,4.34,3.73,4.52
28764,2794,Pass with distinction,0,1,1.3,2.99,4.85,4.49,4.48
61244,2795,Pass,0,1,1.4,2.92,4.13,3.35,3.28
54826,2796,Pass,1,0,1.3,2.81,3.28,2.58,2.67
69626,2797,Pass,0,1,1.4,2.86,3.36,2.14,1.93
23984,2798,Pass with distinction,0,1,1.3,3.75,4.04,2.56,2.92
60705,2799,Pass,0,1,1.3,3.19,3.6,2.13,3.31
45426,2800,Pass with distinction,0,1,1.3,2.73,4.21,3.96,4.5
76545,2801,Pass with distinction,0,1,1.3,3.21,3.74,3.42,3.74
28574,2802,Pass with distinction,0,1,1.3,3.52,4.47,4.09,4.12
93397,2803,Pass,0,1,1.4,3.28,2.36,2.78,2.6
48100,2804,Pass,0,1,1.3,3.36,3.85,3.04,2.65
78248,2805,Pass with distinction,1,0,1.3,2.68,4.34,3.82,4.24
75287,2806,Pass,0,1,1.3,2.71,3.7,2.29,3.42
24678,2807,Pass with distinction,1,0,1.4,3.89,4.44,4,3.69
76100,2808,Borderline pass,0,1,1.5,2.15,4.4,2.64,1.86
27485,2809,Pass,0,1,1.4,3.91,3.67,2.42,2
77779,2810,Pass with distinction,1,0,1.4,3.96,4.76,4.35,4.31
25005,2811,Pass,0,1,1.4,3.48,3.36,2.95,3.17
46497,2812,Pass with distinction,0,1,1.4,3.61,4.16,3.77,3.49
55620,2813,Pass with distinction,1,0,1.4,4.53,4.71,4.35,4.44
56502,2814,Pass,0,1,1.4,2.68,3.78,2.49,1.74
69621,2815,Pass with distinction,0,1,1.4,1.99,4.18,3.36,3.46
40219,2816,Pass with distinction,0,1,1.4,2.71,4.13,3.51,3.18
79231,2817,Pass,0,1,1.4,3.04,4.04,2.46,2.27
65305,2818,Pass,0,1,1.4,3.13,3.98,2.75,2.3
61147,2819,Pass,0,1,1.4,3.06,4.22,3.53,3.74
68983,2820,Pass with distinction,0,1,1.4,4.1,4.64,4.43,4.67
59111,2821,Pass,0,1,1.4,2.41,4,2.87,2.34
72609,2822,Pass,1,0,1.4,2.32,3.87,3.33,3.13
57634,2823,Pass with distinction,1,0,1.4,3.59,4.31,3.49,3.88
35971,2824,Pass,1,0,1.4,3.83,4.38,3.33,3.54
48434,2825,Pass,0,1,1.4,3.54,3.82,2.39,2.07
61690,2826,Pass with distinction,0,1,1.4,3.75,4.22,3.76,3.92
90758,2827,Pass with distinction,0,1,1.4,4.31,4.78,4.04,3.79
87655,2828,Pass,0,1,1.4,3.36,4.02,3.69,3.51
91485,2829,Pass,0,1,1.4,2.71,3.49,2.29,2.04
70359,2830,Pass,1,0,1.4,1.95,3.78,2.54,2.12
30688,2831,Pass,0,1,1.4,2.99,4.36,3.57,2.9
25294,2832,Pass,0,1,1.4,3.19,4.6,3.82,3.26
76924,2833,Pass,1,0,1.4,2.32,4.29,3.59,3.1
76966,2834,Pass,1,0,1.4,3.21,3.36,2.3,2.53
75716,2835,Pass with distinction,1,0,1.4,4.51,4.93,4.71,4.72
39134,2836,Pass,0,1,1.4,4.14,4.27,3.27,3.59
61712,2837,Pass with distinction,0,1,1.4,3.47,3.84,2.84,3.56
64038,2838,Pass with distinction,0,1,1.4,3.44,4.02,3.77,3.44
35666,2839,Pass with distinction,1,0,1.4,2.92,3.64,3.6,3.74
58571,2840,Pass,0,1,1.4,2.57,2.82,1.96,1.93
89139,2841,Pass with distinction,1,0,1.4,2.89,4.56,3.94,4.13
28635,2842,Pass with distinction,0,1,1.4,4.17,4.69,4.41,4.82
32418,2843,Pass,0,1,1.4,2.99,4.4,3.59,3.33
67353,2844,Pass with distinction,1,0,1.4,4.02,4.49,4.3,4.41
40825,2845,Pass,0,1,1.4,3.82,4.38,2.59,2.89
26695,2846,Pass,0,1,1.4,3.75,4.09,3.04,2.73
81167,2847,Pass with distinction,1,0,1.4,3.82,4.31,4.43,4.54
38980,2848,Pass,0,1,1.4,2.92,4.33,3.07,2.1
41414,2849,Pass,0,1,1.4,3.13,4.49,3.36,2.46
30099,2850,Pass with distinction,1,0,1.4,3.47,4.62,4.16,4.41
46041,2851,Pass with distinction,0,1,1.4,2.11,4.22,2.7,3.46
93083,2852,Pass,1,0,1.5,3.13,3.78,3.02,2.98
95699,2853,Pass with distinction,1,0,1.5,3.96,4.78,4.51,4.66
68603,2854,Pass,1,0,1.5,3.82,4.51,3.8,4.11
68840,2855,Pass,0,1,1.5,3,4.47,2.67,3.67
81918,2856,Pass,1,0,1.5,2.05,4.71,4.27,4.3
34691,2857,Pass,0,1,1.5,3.75,4.47,3.68,3.55
74958,2858,Pass,0,1,1.5,3.54,4.31,3.71,3.73
44572,2859,Pass,0,1,1.5,3.26,3.51,2.47,2.24
94085,2860,Pass,0,1,1.5,2.99,3.64,2.98,3.11
67361,2861,Pass,1,0,1.5,2.24,3.78,3.11,3.23
78270,2862,Pass,0,1,1.5,2.64,4.22,2.93,2.48
32159,2863,Pass,1,0,1.5,3.31,4.47,4,4.11
62205,2864,Pass with distinction,0,1,1.5,2.5,4.16,3.04,3.89
34580,2865,Pass,0,1,1.5,2.25,4.82,3.98,3.48
63199,2866,Pass,0,1,1.5,2.41,4.2,3.18,3.54
40742,2867,Pass,1,0,1.5,3.54,3.16,3.2,2.98
77152,2868,Pass,0,1,1.5,4.03,4.4,3.91,3.98
79688,2869,Pass,0,1,1.5,2.92,3.78,2.88,3.68
37574,2870,Pass,1,0,1.5,3.67,4.49,3.77,4
65647,2871,Pass,0,1,1.5,3.96,3.76,2.38,2.58
